Species,Genotype,Replicate,Zip.Color,Sample.id,Acclimation.Tank,Treatment.Tank,Treament
MC,2,35,Yellow,MC_2_35,,,
MC,2,36,Yellow,MC_2_36,,,
MC,2,37,Yellow,MC_2_37,,,
MC,2,38,Yellow,MC_2_38,,,
MC,2,39,Yellow,MC_2_39,,,
MC,2,40,Yellow,MC_2_40,,,
MC,2,41,Yellow,MC_2_41,,,
MC,2,42,Yellow,MC_2_42,,,
MC,3,1,Green,MC_3_1,,,
MC,3,2,Green,MC_3_2,,,
MC,3,3,Green,MC_3_3,,,
MC,3,4,Green,MC_3_4,,,
MC,3,5,Green,MC_3_5,,,
MC,3,6,Green,MC_3_6,,,
MC,3,7,Green,MC_3_7,,,
MC,3,8,Green,MC_3_8,,,
MC,3,9,Green,MC_3_9,,,
MC,3,10,Green,MC_3_10,,,
MC,3,11,Green,MC_3_11,,,
MC,3,12,Green,MC_3_12,,,
MC,3,13,Green,MC_3_13,,,
MC,3,14,Green,MC_3_14,,,
MC,3,15,Green,MC_3_15,,,
MC,3,16,Green,MC_3_16,,,
MC,3,17,Green,MC_3_17,,,
MC,3,18,Green,MC_3_18,,,
MC,3,19,Green,MC_3_19,,,
MC,3,20,Green,MC_3_20,,,
MC,3,21,Green,MC_3_21,,,
MC,3,22,Green,MC_3_22,,,
MC,3,23,Green,MC_3_23,,,
MC,3,24,Green,MC_3_24,,,
MC,3,25,Green,MC_3_25,,,
MC,3,26,Green,MC_3_26,,,
MC,3,27,Green,MC_3_27,,,
MC,3,28,Green,MC_3_28,,,
MC,3,29,Green,MC_3_29,,,
MC,3,30,Green,MC_3_30,,,
MC,3,31,Green,MC_3_31,,,
MC,3,32,Green,MC_3_32,,,
MC,3,33,Green,MC_3_33,,,
MC,3,34,Green,MC_3_34,,,
MC,3,35,Green,MC_3_35,,,
MC,3,36,Green,MC_3_36,,,
MC,3,37,Green,MC_3_37,,,
MC,3,38,Green,MC_3_38,,,
MC,3,39,Green,MC_3_39,,,
MC,3,40,Green,MC_3_40,,,
MC,3,41,Green,MC_3_41,,,
MC,3,42,Green,MC_3_42,,,
MC,4,1,Red,MC_4_1,,,
MC,4,2,Red,MC_4_2,,,
MC,4,3,Red,MC_4_3,,,
MC,4,4,Red,MC_4_4,,,
MC,4,5,Red,MC_4_5,,,
MC,4,6,Red,MC_4_6,,,
MC,4,7,Red,MC_4_7,,,
MC,4,8,Red,MC_4_8,,,
MC,4,9,Red,MC_4_9,,,
MC,4,10,Red,MC_4_10,,,
MC,4,11,Red,MC_4_11,,,
MC,4,12,Red,MC_4_12,,,
MC,4,13,Red,MC_4_13,,,
MC,4,14,Red,MC_4_14,,,
MC,4,15,Red,MC_4_15,,,
MC,4,16,Red,MC_4_16,,,
